1.02,291969.24,0
1.15,599314.24,2
1.1,319267.09,0
1.18,188772.75,0
1.16,294717.66,0
0.97,110509.24,1
1.02,247450.44,0
1.07,260110.28,0
1.09,324851.89,0
1.11,188229.49,1
1.17,188604.81,1
1.02,152457.34,1
1.07,672143.73,2
1.16,102620.49,1
1.1,131368.97,1
1.05,171182.26,1
1.08,272638.45,0
0.97,292861.52,0
1.17,236118.57,0
1.07,182211.52,1
1.16,391714.39,2
1.11,209852.97,0
0.98,205242.88,0
1.17,366097.62,2
1.02,386418.16,2
1.03,405648.95,2
1.08,89952.37,1
1.16,331673.7,2
1.31,224600.76,0
1.05,129098.16,1
1.12,394861.39,2
1.01,592042.46,2
1.01,168737.83,1
1.22,253819.68,0
1.12,299788.45,0
0.98,106247.96,1
1.22,326180.19,2
1.11,199461.7,0
1.08,244235.5,0
1.03,210356.64,0
1.04,210131.65,0
1,411175.81,2
1,138922.01,1
1,182554.24,1
1.2,201636.06,0
1.06,63946.44,1
1.1,597108.72,2
1,301417.72,0
1.01,327616.44,2
1.12,251280.34,0
1.12,150776.23,1
1.06,245016.77,0
0.99,343285.68,2
1.1,190369.68,0
1.04,185743.92,1
0.97,155210.91,1
1.21,130460.12,1
1.04,339203.95,2
1.08,365846.14,2
1.08,270086.07,0
1.08,343895.57,2
1.06,409258.35,2
1.04,312287.02,0
1.04,370204.37,2
1.25,139458.61,1
1.08,148883.48,1
1.05,265197.71,0
0.98,569503.32,2
1.1,301312.64,0
1.04,106459.81,1
0.97,297568.34,0
0.99,442687.81,2
1.06,325593.35,0
1.09,612936.46,2
0.96,387869.48,2
1.01,120853.66,1
1.12,331364.62,2
0.99,484482.24,2
1,324833.29,0
1,183299.36,1
1.05,170159.77,1
1.16,162248.8,1
1.02,380666.39,2
1.06,78159.49,1
1.17,229245.53,0
1.12,299946.27,0
1.03,344938.76,2
1.18,370693.73,2
0.98,364219.22,2
1.01,130341.63,1
1.04,388925.06,2
1.12,258825.81,0
1.27,257119.68,0
1.12,392275.28,2
1.05,176454.68,1
1.12,432331.39,2
1.04,283358.84,0
0.97,113377.07,1
0.99,144882.4,1
1.19,188579.98,1
1.12,379744.05,2
1.09,292252.14,0
1.15,305206.57,0
1,626685.43,2
0.96,159087.5,1
1.08,356260.74,2
1.09,380604.03,2
1.04,100954.11,1
1.11,397146.19,2
1.04,109580.38,1
1.02,182487.72,1
0.94,376685.34,2
1.1,137131.08,1
1.05,119496.01,1
1.03,163610.74,1
1.06,295326.65,0
1.07,115524.36,1
1.05,347402.52,2
1.05,352087.02,2
0.94,420986.01,2
1.14,314926.07,0
