18665,19050,1
19085,20935,1
15300,18025,1
18510,21390,1
12740,12420,0
16660,16970,1
18270,19495,1
19485,21295,1
14860,16545,0
14385,16880,0
14030,14335,0
26620,28500,2
11310,13155,0
12840,14165,0
14375,15070,0
15950,17240,1
17505,17030,1
16400,19210,1
15100,16180,0
20435,23620,2
15310,16930,1
15410,15100,1
19655,22985,2
19955,20315,2
20820,21525,2
9865,10695,0
18330,21210,2
15410,20135,1
12755,13355,0
21430,24040,2
24855,25085,2
13660,13790,0
17900,21870,1
18780,21045,1
11995,11735,0
19640,23885,2
15320,16970,1
16950,18245,1
15685,16230,1
16565,17215,1
21210,21220,2
12575,12525,0
14135,14120,0
16365,19615,1
8585,9130,0
24050,26455,2
18410,18445,1
18945,19090,2
17385,19430,1
13395,15025,0
15380,16320,1
18820,18710,2
14660,16095,1
14160,14770,0
14340,13935,0
13630,16435,0
18840,19675,2
20120,21695,2
16180,17430,1
19310,20795,2
21265,22485,2
18925,19735,1
21065,21810,2
13080,16330,0
13655,14725,0
17690,18505,1
24375,23990,2
18795,20630,1
11475,11970,0
19055,18475,1
21900,21690,2
19990,21120,1
25270,27605,2
20270,19410,2
13005,13190,0
18955,21220,2
21975,21675,2
18940,18900,1
14875,14920,0
14170,14830,0
13035,15085,0
19930,20285,2
9945,10515,0
16290,19010,1
17830,19950,1
20235,20800,2
19940,23555,2
20230,19920,2
13080,13230,0
20515,21345,2
16700,18650,1
17335,22055,1
20995,23470,2
14500,15270,0
21030,23545,2
17845,18525,1
12330,12015,0
12825,12640,0
14000,16700,0
20535,23060,2
16120,17640,1
18625,21385,1
25225,25265,2
14430,13890,0
19000,20590,2
20255,22000,2
10575,10985,0
20685,22975,2
11805,12250,0
15000,15320,0
20095,18975,2
13415,14710,0
12455,13045,0
14520,14950,0
19000,20065,1
12460,13370,0
18450,19380,2
19650,20655,2
21220,19965,2
18490,21085,1
